cycle_id,cycle_number,phase,flow_rate_mL_min,temperature_K,soc,cell_voltage_V,stack_voltage_V,current_A,power_kW,source
0,1,charge,60,298.15,0.1,1.44646,57.858,100.0,5.786,Aspen_Plus_v14
0,1,charge,60,298.15,0.1205,1.45688,58.275,100.0,5.828,Aspen_Plus_v14
0,1,charge,60,298.15,0.141,1.4533,58.132,100.0,5.813,Aspen_Plus_v14
0,1,charge,60,298.15,0.1615,1.44436,57.774,100.0,5.777,Aspen_Plus_v14
0,1,charge,60,298.15,0.1821,1.449,57.96,100.0,5.796,Aspen_Plus_v14
0,1,charge,60,298.15,0.2026,1.46015,58.406,100.0,5.841,Aspen_Plus_v14
0,1,charge,60,298.15,0.2231,1.43976,57.59,100.0,5.759,Aspen_Plus_v14
0,1,charge,60,298.15,0.2436,1.44974,57.99,100.0,5.799,Aspen_Plus_v14
0,1,charge,60,298.15,0.2641,1.45822,58.329,100.0,5.833,Aspen_Plus_v14
0,1,charge,60,298.15,0.2846,1.44756,57.902,100.0,5.79,Aspen_Plus_v14
0,1,charge,60,298.15,0.3051,1.44849,57.94,100.0,5.794,Aspen_Plus_v14
0,1,charge,60,298.15,0.3256,1.45142,58.057,100.0,5.806,Aspen_Plus_v14
0,1,charge,60,298.15,0.3462,1.45935,58.374,100.0,5.837,Aspen_Plus_v14
0,1,charge,60,298.15,0.3667,1.44869,57.948,100.0,5.795,Aspen_Plus_v14
0,1,charge,60,298.15,0.3872,1.44967,57.987,100.0,5.799,Aspen_Plus_v14
0,1,charge,60,298.15,0.4077,1.44972,57.989,100.0,5.799,Aspen_Plus_v14
0,1,charge,60,298.15,0.4282,1.46292,58.517,100.0,5.852,Aspen_Plus_v14
0,1,charge,60,298.15,0.4487,1.46282,58.513,100.0,5.851,Aspen_Plus_v14
0,1,charge,60,298.15,0.4692,1.45691,58.276,100.0,5.828,Aspen_Plus_v14
0,1,charge,60,298.15,0.4897,1.45382,58.153,100.0,5.815,Aspen_Plus_v14
0,1,charge,60,298.15,0.5103,1.45558,58.223,100.0,5.822,Aspen_Plus_v14
0,1,charge,60,298.15,0.5308,1.45934,58.374,100.0,5.837,Aspen_Plus_v14
0,1,charge,60,298.15,0.5513,1.44721,57.888,100.0,5.789,Aspen_Plus_v14
0,1,charge,60,298.15,0.5718,1.45777,58.311,100.0,5.831,Aspen_Plus_v14
0,1,charge,60,298.15,0.5923,1.44562,57.825,100.0,5.782,Aspen_Plus_v14
0,1,charge,60,298.15,0.6128,1.4487,57.948,100.0,5.795,Aspen_Plus_v14
0,1,charge,60,298.15,0.6333,1.45642,58.257,100.0,5.826,Aspen_Plus_v14
0,1,charge,60,298.15,0.6538,1.44475,57.79,100.0,5.779,Aspen_Plus_v14
0,1,charge,60,298.15,0.6744,1.45119,58.048,100.0,5.805,Aspen_Plus_v14
0,1,charge,60,298.15,0.6949,1.44758,57.903,100.0,5.79,Aspen_Plus_v14
0,1,charge,60,298.15,0.7154,1.45061,58.024,100.0,5.802,Aspen_Plus_v14
0,1,charge,60,298.15,0.7359,1.4379,57.516,100.0,5.752,Aspen_Plus_v14
0,1,charge,60,298.15,0.7564,1.44303,57.721,100.0,5.772,Aspen_Plus_v14
0,1,charge,60,298.15,0.7769,1.44839,57.936,100.0,5.794,Aspen_Plus_v14
0,1,charge,60,298.15,0.7974,1.45653,58.261,100.0,5.826,Aspen_Plus_v14
0,1,charge,60,298.15,0.8179,1.45102,58.041,100.0,5.804,Aspen_Plus_v14
0,1,charge,60,298.15,0.8385,1.4519,58.076,100.0,5.808,Aspen_Plus_v14
0,1,charge,60,298.15,0.859,1.45533,58.213,100.0,5.821,Aspen_Plus_v14
0,1,charge,60,298.15,0.8795,1.44749,57.9,100.0,5.79,Aspen_Plus_v14
0,1,charge,60,298.15,0.9,1.45331,58.132,100.0,5.813,Aspen_Plus_v14
0,1,discharge,60,298.15,0.9,1.06208,42.483,-100.0,4.248,Aspen_Plus_v14
0,1,discharge,60,298.15,0.8795,1.05747,42.299,-100.0,4.23,Aspen_Plus_v14
0,1,discharge,60,298.15,0.859,1.06416,42.566,-100.0,4.257,Aspen_Plus_v14
0,1,discharge,60,298.15,0.8385,1.06898,42.759,-100.0,4.276,Aspen_Plus_v14
0,1,discharge,60,298.15,0.8179,1.0678,42.712,-100.0,4.271,Aspen_Plus_v14
